City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,Namibe,AO,61.47,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
315,Palmerston,AU,73.38,broken clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
316,Haldibari,IN,82.76,overcast clouds,26.3333,88.7667,Rahul and Debika
317,Korla,CN,86.0,overcast clouds,41.7597,86.1469,Gulisitan Hotel
319,Peruibe,BR,65.46,overcast clouds,-24.32,-46.9983,Hotel Pousada Xapuri
321,Leh,IN,62.02,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
322,Bonavista,CA,72.36,scattered clouds,48.6499,-53.1147,Sweet Sharons bnb
323,Aanekoski,FI,71.67,light rain,62.6946,25.818,Tervahovi
326,Barmer,IN,81.28,light rain,25.75,71.3833,Jain Dharamshala
328,Okhansk,RU,60.87,broken clouds,57.7186,55.3877,Ural Hotel
329,Bolu,TR,65.25,broken clouds,40.6667,31.5833,Sefa Green Hotel
330,Santa Cruz,CO,67.77,light rain,1.5209,-77.2621,La Orqueta
331,Katobu,ID,71.37,few clouds,-4.9408,122.5276,La Ode Husein
334,Fomboni,KM,75.0,clear sky,-12.28,43.7425,Auberge les abou
335,Toma,BF,76.68,moderate rain,12.7667,-2.8833,Auberge de l'amitié
336,Shimoda,JP,70.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
337,Karpogory,RU,64.74,few clouds,64.0019,44.4451,Hotel Pinezhskaya Sloboda
338,Tual,ID,80.01,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
339,Turan,VN,78.78,few clouds,16.0678,108.2208,Grand Mercure Danang
341,Shingu,JP,77.31,clear sky,33.7333,135.9833,Shingu UI Hotel
342,Zeya,RU,63.19,moderate rain,53.75,127.2667,Kapital Inn
343,Ucluelet,CA,68.31,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
344,Numaligarh,IN,78.42,broken clouds,26.6333,93.75,Mumai Hotel
345,Kulhudhuffushi,MV,80.28,moderate rain,6.6221,73.07,Haajy Guest House 1
346,Mapastepec,MX,84.43,overcast clouds,15.4333,-92.9,Hotel San Carlos
349,Belmonte,BR,73.56,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
350,Xique-Xique,BR,82.71,clear sky,-10.8218,-42.7263,Hotel J. Macedo
351,Vanimo,PG,75.7,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
352,Edea,CM,72.72,light rain,3.8,10.1333,Micotel Hotel
353,Odweyne,SO,75.61,clear sky,9.4092,45.064,Eng Hiirey House
354,Lagoa,PT,75.49,clear sky,39.05,-27.9833,Casa Das Faias
355,Camana,PE,62.24,broken clouds,-16.6228,-72.7111,Hostal Morales
358,Masuda,JP,77.97,broken clouds,34.6667,131.85,Masuda Green Hotel Morris
359,Waingapu,ID,69.69,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
363,Celina,US,87.64,scattered clouds,40.5489,-84.5702,Americas Best Value Inn Celina
364,Naguabo,PR,86.67,broken clouds,18.2116,-65.7349,Rodríguez Apartments & Doña Ana Resorts
365,Lusk,IE,60.85,broken clouds,53.5274,-6.1642,Sandyhills B&B
366,Minot,US,82.62,clear sky,48.2325,-101.2963,Noble Inn
367,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
368,Bismil,TR,89.33,clear sky,37.8486,40.6658,Hotel Dolay
369,Nara,JP,79.97,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
371,Morondava,MG,70.27,clear sky,-20.2833,44.2833,La Case Bambou
372,Singkang,MY,73.06,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
374,Muros,ES,69.1,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
375,Pauini,BR,78.84,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
376,Bardiyah,LY,78.44,clear sky,31.7561,25.0865,بورتو بردية
377,Jhalu,IN,81.54,few clouds,29.35,78.25,Vijendra yadav
378,Nagato,JP,80.08,scattered clouds,34.3833,131.2,いそう庵
379,Noyabrsk,RU,64.17,overcast clouds,63.1994,75.4507,Hotel Uyutnaya
382,Nouakchott,MR,80.53,scattered clouds,18.0858,-15.9785,HOTEL IMAN
383,Seydi,TM,81.52,clear sky,39.4816,62.9137,Seydi oteli
384,Tura,IN,74.3,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
386,Almeria,ES,75.36,clear sky,37.1667,-2.3333,Casa Rural El Laurel
388,Lasa,IT,65.28,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
390,Yellandu,IN,74.91,overcast clouds,17.6,80.3333,Varalaxmi
392,Novorudnyy,RU,67.48,overcast clouds,51.5026,58.1873,Novorudnyi
393,Florianopolis,BR,60.69,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
396,Hobyo,SO,76.08,broken clouds,5.3505,48.5268,Iftin hotel hobyo
397,Caravelas,BR,73.62,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
398,Waverly,US,85.93,scattered clouds,42.7392,-84.6208,"Crowne Plaza Lansing West, an IHG Hotel"
399,Piacabucu,BR,72.77,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
400,Ishigaki,JP,80.73,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
401,Kalmunai,LK,78.4,overcast clouds,7.4167,81.8167,VS Villa
402,Ushtobe,KZ,74.41,scattered clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
404,Broome,US,87.44,broken clouds,42.2506,-75.833,Chenango Valley State Park
407,Karaton,ID,71.69,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
409,Ginir,ET,62.13,overcast clouds,7.1333,40.7,Sura Dare Village
412,Luganville,VU,79.36,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
413,Tongliao,CN,72.36,broken clouds,43.6125,122.2653,Meirujia Hotel
414,Hede,CN,78.76,light rain,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
416,Isangel,VU,78.91,few clouds,-19.55,169.2667,Tanna Lodge
