City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Northam,GB,51.0333,-4.2167,60.62,71,100,9.53,overcast clouds
223,Botngard,NO,63.7653,9.8111,55.78,76,75,9.22,broken clouds
224,Hambantota,LK,6.1241,81.1185,78.28,81,100,17.07,overcast clouds
225,Rawson,AR,-43.3002,-65.1023,45.07,61,96,18.84,overcast clouds
226,Kenai,US,60.5544,-151.2583,61.03,82,0,23.02,light rain
227,Dunedin,NZ,-45.8742,170.5036,51.8,78,100,1.99,overcast clouds
228,Komsomolskiy,UZ,40.4272,71.7189,77.29,33,31,2.46,scattered clouds
229,Miyako,JP,39.6367,141.9525,65.46,85,100,4.12,overcast clouds
230,Cayeli,TR,41.0923,40.7292,75.27,78,0,4.0,clear sky
231,Hasaki,JP,35.7333,140.8333,72.28,77,100,9.26,overcast clouds
232,Mahebourg,MU,-20.4081,57.7,70.25,78,40,11.5,scattered clouds
233,Kodiak,US,57.79,-152.4072,63.91,52,75,6.91,broken clouds
234,Deputatskiy,RU,69.3,139.9,47.98,72,98,2.86,overcast clouds
235,Daura,NG,11.5538,11.4085,72.91,86,100,10.31,light rain
236,Tyumentsevo,RU,53.3224,81.498,56.88,62,0,5.79,clear sky
237,Shitanjing,CN,39.2342,106.3439,79.57,57,31,6.04,scattered clouds
238,Severo-Kurilsk,RU,50.6789,156.125,55.6,85,100,2.39,overcast clouds
239,Faanui,PF,-16.4833,-151.75,77.92,76,98,24.49,light rain
240,Oktyabrskiy,RU,54.4815,53.471,62.55,66,0,2.98,clear sky
241,Muzhi,RU,65.3667,64.6667,61.02,75,91,9.55,overcast clouds
242,Minusinsk,RU,53.7103,91.6875,51.98,82,63,0.18,broken clouds
243,Muroto,JP,33.2833,134.15,81.46,78,0,6.62,clear sky
244,Pisco,PE,-13.7,-76.2167,66.25,68,20,10.36,few clouds
245,Nanortalik,GL,60.1432,-45.2371,47.61,86,100,8.68,overcast clouds
246,Lastoursville,GA,-0.8143,12.7287,78.17,65,100,4.03,overcast clouds
247,Kikwit,CD,-5.041,18.8162,81.41,21,18,3.31,few clouds
248,Sitka,US,57.0531,-135.33,57.09,88,100,13.8,light rain
249,Surt,LY,31.2089,16.5887,81.7,68,0,14.85,clear sky
250,Torbay,CA,47.6666,-52.7314,79.75,65,40,20.71,scattered clouds
251,Dhidhdhoo,MV,6.8833,73.1,80.29,83,100,17.52,moderate rain
252,Sabha,LY,27.0377,14.4283,97.39,15,94,11.01,overcast clouds
253,Solnechnyy,RU,50.7214,136.6319,63.18,100,100,5.19,moderate rain
254,Nishihara,JP,26.1842,127.7558,82.45,86,40,3.44,scattered clouds
255,Bassila,BJ,9.0081,1.6654,70.95,84,73,1.07,broken clouds
256,Grootfontein,NA,-19.5667,18.1167,51.37,62,0,3.44,clear sky
257,Salalah,OM,17.0151,54.0924,78.89,94,75,2.3,broken clouds
258,Shirokiy,RU,49.758,129.523,63.18,96,11,8.39,few clouds
259,Talovaya,RU,51.1144,40.73,71.37,51,60,8.5,broken clouds
260,Mogadishu,SO,2.0371,45.3438,75.72,83,38,20.11,light rain
261,Fairbanks,US,64.8378,-147.7164,55.36,93,100,8.05,moderate rain
262,Altay,CN,47.8667,88.1167,60.03,46,36,4.7,scattered clouds
263,Ovsyanka,RU,55.9575,92.5519,52.77,90,81,3.47,broken clouds
264,Tatarka,RU,44.9589,41.9517,66.02,57,87,4.45,overcast clouds
265,Luz,BR,-19.8014,-45.6856,77.5,28,9,5.79,clear sky
266,Manado,ID,1.487,124.8455,75.97,100,40,2.3,scattered clouds
267,Trat,TH,12.5,102.5,78.87,96,100,8.97,overcast clouds
268,Jalu,LY,29.0331,21.5482,84.11,42,0,16.13,clear sky
269,Okhotsk,RU,59.3833,143.3,56.97,89,100,10.04,overcast clouds
270,Yulara,AU,-25.2406,130.9889,46.09,44,0,8.08,clear sky
271,Ierapetra,GR,35.01,25.7353,77.94,60,0,4.23,clear sky
272,Flinders,AU,-34.5833,150.8552,54.68,75,1,5.99,clear sky
273,Bethel,US,41.3712,-73.414,90.45,71,75,0.0,broken clouds
274,Januaria,BR,-15.4833,-44.3667,81.41,24,34,3.96,scattered clouds
275,Kruisfontein,ZA,-34.0033,24.7314,54.09,86,48,9.22,scattered clouds
276,Chapleau,CA,47.8405,-83.4034,78.89,50,20,9.22,few clouds
277,Calama,CL,-22.4667,-68.9333,64.89,11,40,23.02,scattered clouds
278,Dolores,AR,-36.3132,-57.6792,50.41,57,0,3.09,clear sky
279,Sijunjung,ID,-0.6876,100.9537,70.16,86,100,2.06,overcast clouds
280,Martinez,US,38.0194,-122.1341,88.11,61,0,16.11,clear sky
281,Taman,RU,45.2117,36.7161,77.95,67,0,7.58,clear sky
282,Murighiol,RO,45.0333,29.1667,75.69,70,31,2.35,scattered clouds
283,Raichur,IN,16.2,77.3667,75.7,82,100,14.23,overcast clouds
284,Balkanabat,TM,39.5108,54.3671,92.1,25,36,5.39,scattered clouds
285,Qasigiannguit,GL,68.8193,-51.1922,48.45,98,100,1.03,light rain
286,Gambela,ET,8.25,34.5833,70.25,94,100,3.18,overcast clouds
287,Vigrestad,NO,58.5667,5.7,55.58,70,47,17.65,scattered clouds
288,Usakos,NA,-22.0,15.6,64.81,26,3,1.39,clear sky
289,Muscat,OM,23.6139,58.5922,87.82,70,22,5.12,few clouds
290,Vilhena,BR,-12.7406,-60.1458,88.02,35,0,6.91,clear sky
291,Floriano,BR,-6.7669,-43.0225,86.16,41,57,6.15,broken clouds
292,Cidreira,BR,-30.1811,-50.2056,54.39,69,95,12.53,overcast clouds
293,Margate,GB,51.3813,1.3862,63.9,72,53,1.99,broken clouds
294,Katol,IN,21.2667,78.5833,76.69,89,98,7.27,light rain
295,Charallave,VE,10.2425,-66.8572,82.67,70,85,6.67,overcast clouds
296,Srednekolymsk,RU,67.45,153.6833,55.0,55,100,3.31,overcast clouds
297,Naze,JP,28.3667,129.4833,79.72,84,98,6.04,overcast clouds
298,Berdigestyakh,RU,62.0989,126.6992,55.53,97,100,6.49,light rain
299,Synya,RU,65.3718,58.0387,59.41,86,99,3.78,overcast clouds
300,Mareeba,AU,-17.0,145.4333,65.44,94,18,1.92,few clouds
301,Atar,MR,20.5169,-13.0499,97.09,28,2,8.72,clear sky
302,Iberia,US,29.9502,-91.7507,87.96,78,0,6.91,clear sky
303,Nicoya,CR,10.1483,-85.452,82.63,78,79,8.5,broken clouds
304,Krasnogvardeyets,RU,52.6804,52.3635,66.81,56,0,6.51,clear sky
305,Uruzgan,AF,32.8333,66.0,76.77,15,1,2.46,clear sky
306,Vilyuysk,RU,63.7553,121.6247,51.46,98,100,10.16,overcast clouds
307,Pasni,PK,25.2631,63.471,80.35,88,100,9.17,overcast clouds
308,Kaukauna,US,44.278,-88.272,85.08,70,40,9.22,scattered clouds
309,Balaipungut,ID,1.05,101.2833,73.35,80,100,1.5,overcast clouds
310,Magnitogorsk,RU,53.4186,59.0472,58.03,77,0,8.95,clear sky
311,Vestmanna,FO,62.1564,-7.1664,50.92,87,75,11.5,broken clouds
312,Chegdomyn,RU,51.1167,133.0167,64.8,97,90,3.15,overcast clouds
313,Talnakh,RU,69.4865,88.3972,50.43,95,32,3.69,scattered clouds
314,Namibe,AO,-15.1961,12.1522,61.47,89,26,6.58,scattered clouds
315,Palmerston,AU,-12.486,130.9833,73.38,94,75,2.3,broken clouds
316,Haldibari,IN,26.3333,88.7667,82.76,82,100,1.99,overcast clouds
317,Korla,CN,41.7597,86.1469,86.0,24,100,7.36,overcast clouds
318,Koslan,RU,63.4564,48.8989,64.2,77,87,5.21,overcast clouds
319,Peruibe,BR,-24.32,-46.9983,65.46,81,85,4.07,overcast clouds
320,Kyren,RU,51.6828,102.1408,52.88,95,97,2.08,overcast clouds
321,Leh,IN,34.1667,77.5833,62.02,60,87,5.5,overcast clouds
322,Bonavista,CA,48.6499,-53.1147,72.36,68,36,17.13,scattered clouds
323,Aanekoski,FI,62.6946,25.818,71.67,80,96,9.98,light rain
324,Golden,US,39.7555,-105.2211,99.95,22,40,33.38,scattered clouds
325,Kuldur,RU,49.2167,131.6333,65.53,99,91,3.44,overcast clouds
326,Barmer,IN,25.75,71.3833,81.28,71,100,4.74,light rain
327,Sonoita,MX,31.85,-112.8333,98.78,27,9,5.91,clear sky
328,Okhansk,RU,57.7186,55.3877,60.87,68,82,2.08,broken clouds
329,Bolu,TR,40.6667,31.5833,65.25,95,65,3.58,broken clouds
330,Santa Cruz,CO,1.5209,-77.2621,67.77,71,50,4.16,light rain
331,Katobu,ID,-4.9408,122.5276,71.37,92,19,2.53,few clouds
332,Vardo,NO,70.3705,31.1107,51.78,93,100,11.5,light intensity drizzle
333,Aldan,RU,58.6031,125.3894,49.53,98,100,2.17,moderate rain
334,Fomboni,KM,-12.28,43.7425,75.0,69,3,1.97,clear sky
335,Toma,BF,12.7667,-2.8833,76.68,83,66,5.57,moderate rain
336,Shimoda,JP,34.6667,138.95,70.11,83,100,8.28,overcast clouds
337,Karpogory,RU,64.0019,44.4451,64.74,82,20,5.08,few clouds
338,Tual,ID,-5.6667,132.75,80.01,84,98,12.97,overcast clouds
339,Turan,VN,16.0678,108.2208,78.78,89,20,1.14,few clouds
340,Suffolk,US,40.8668,-72.7996,91.04,65,0,12.66,clear sky
341,Shingu,JP,33.7333,135.9833,77.31,91,3,5.64,clear sky
342,Zeya,RU,53.75,127.2667,63.19,97,100,7.92,moderate rain
343,Ucluelet,CA,48.9329,-125.5528,68.31,82,0,1.99,clear sky
344,Numaligarh,IN,26.6333,93.75,78.42,94,73,0.76,broken clouds
345,Kulhudhuffushi,MV,6.6221,73.07,80.28,82,100,17.36,moderate rain
346,Mapastepec,MX,15.4333,-92.9,84.43,75,100,5.64,overcast clouds
347,Selenginsk,RU,52.0064,106.8647,52.21,95,42,3.44,scattered clouds
348,Kuminskiy,RU,58.6667,66.5667,65.23,67,77,4.07,broken clouds
349,Belmonte,BR,-15.8631,-38.8828,73.56,74,43,8.93,scattered clouds
